de,en
"vornehmen (sich) (nimmt vor, nahm vor, hat vorgenommen)",to carry out
da vorne (da hinten),over there (over there)
"der Wurf, Würfe",throw
würfeln,to roll dice
"das Freizeitangebot, -e",recreational activity
das Älterwerden (Singular),aging
"das Bedürfnis, -se","need, desire"
die Betreuung (Singular),"care, supervision"
die Bevölkerung (Singular),population
darunter,among them
dicht,dense
"die Erholungsmöglichkeit, -en",recreational opportunity
die Fachleute (Plural),professionals
"das Fünftel, -",fifth
"die Ganztagsschule, -n",day school
kulturell,cultural(ly)
olympisch,olympic
politisch,political(ly)
"die Pressekonferenz, -en",press conference
"das Radwegnetz, -e",network of bicycle paths
repräsentieren,to represent
wirtschaftlich,economic(ally)
"die Wohnform, -en",form of housing
der Wohnungsbau (Singular),residential building
"das Zukunftscamp, -s",future camp
"der Altersdurchschnitt, -e",average age
berücksichtigen,to consider
"der Fahrradfahrer, -",cyclist
"die Wohnsituation, -en",living situation
"aufwachsen (wächst auf, wuchs auf, ist aufgewachsen)",to grow up
"der Bürger, -",citizen
"die Olympiade, -n",Olympic games
die Bildung (Singular),"education, formation"
"die Verkehrssituation, -en",traffic situation
"der Wohnraum, Wohnräume",living space
"der Rhythmus, Rhythmen",rhythm
"der Refrain, -s",refrain
"der Sieger, -","winner, victor"
auswendig,from memory
der Himmel (Singular),sky
hinhören,to listen closely
innere/inneres,inner
irren,"here: to stray, roam about"
"das Labyrinth, -e",labyrinth
mithören,to listen with s.o.
"mitsingen (singt mit, sang mit, hat mitgesungen)",to sing with s.o.
der Mut (Singular),courage
trauen (sich),to trust
wagen,"to dare, risk"
bereit,prepared
besiegen,to defeat
das Dunkle (Singular),darkness
das Helle (Singular),light
kämpfen,to fight
"der Bass, Bässe",bass
"der Gesang, Gesänge",singing
"das Keyboard, -s",keyboard
"das Schlagzeug, -e","drums, percussion"
"die Single, -s",single
Amerika,America
"der Song, -s",song
"die Beziehungskiste, -n",relationship
einparken,to park
nerven,to annoy
gepflegt,"neat, refined"
der Humor (Singular),humor
kleiden (sich),to dress
natürlich (Ohne Make-up siehst du sehr natürlich aus.),natural (You look very natural without makeup.)
schlank,slender
"die Traumfrau, -en",dream woman
"der Traummann, -männer",dream man
"die Studie, -n",study
"die Einschätzung, -en","assessment, estimation"
ängstlich,"anxious(ly), fearful(ly)"
blond,blond
dunkelhaarig,dark-haired
faul,"lazy, lazily"
"klug, klüger, am klügsten","wise(ly), clever(ly)"
kräftig,strong(ly)
mutig,brave(ly)
optimistisch,optimistic(ally)
pessimistisch,pessimistic(ally)
"schwach, schwächer, am schwächsten",weak(ly)
unehrlich,dishonest(ly)
untreu,unfaithful(ly)
unzuverlässig (unzuverlässig sein),unreliable (to be unreliably)
"das Patchwork, -s",patchwork
"die Patchwork-Familie, -n",patchwork family
bald darauf,soon thereafter
"die Beratung, -en","advice, consultation"
"die Beratungsstelle, -n",counseling center
"das Ende, -n (am Ende sein)",end (to be at the end)
jetzig,"current, present"
"klarkommen (kommt klar, kam klar, ist klargekommen) (Damit komme ich nicht klar!)",to cope (I can’t cope with this.)
"der Kompromiss, -e",compromise
"scheiden lassen (sich) (von + Dat.) (lässt sich scheiden, ließ sich scheiden, hat sich scheiden lassen)",to divorce
setzen (Grenzen setzen),to set (to set boundaries)
"der Sponsor, -en",sponsor
"der Streit, -e","dispute, argument"
tagelang,for days
verwandt,related
wahnsinnig,"insane(ly), crazy, crazily"
"zusammenbleiben (bleibt zusammen, blieb zusammen, ist zusammengeblieben)",to stay together
zusammenleben,to live together
"einziehen (zieht ein, zog ein, ist eingezogen) (Elisa zieht bei Tom und Nina ein.)",to move in (Elisa is moving in with Tom and Nina.)
trennen (sich),to separate
die Gegenwart (Singular),"present time, presence"
die Vergangenheit (Singular),past
abspülen,to rinse
ätzend,"caustic(ally), lousy, lousily"
"der Blödmann, Blödmänner","buffoon, blockhead"
"die Dusche, -n",shower
endlos,endless(ly)
die Halbzeit (Singular) (Halbzeit im Urlaub),halftime (Vacation halftime)
krass (Das war echt krass!),"crass, harsh (This was really crass!)"
nachdem,after
"die Neuigkeit, -en",news
schick (sich schick machen),"chic, fancy (to make oneself fancy)"
worüber,about what
"bis (Ich warte, bis du kommst.)","until, up to (How long will it be until you come?)"
erschöpft,exhausted
eskalieren,to escalate
"gefallen lassen (sich) (lässt sich gefallen, ließ sich gefallen, hat sich gefallen lassen)","to put up with, tolerate"
"gelingen (gelingt, gelang, ist gelungen)",to succeed
"das Gift, -e",poison
"die Goldwaage, -n (jedes Wort auf die Goldwaage legen)","balance, scales (to overanalyze every word)"
"die Harmonie, -n",harmony
"die Ich-Aussage, -n",I-statement
die Kritik (Singular),criticism
"nachgeben (gibt nach, gab nach, hat nachgegeben)","to give in, yield"
"ruhig bleiben (bleibt ruhig, blieb ruhig, ist ruhig geblieben)",to stay calm
"schweigen (schweigt, schwieg, hat geschwiegen)",to remain silent
tolerant,tolerant(ly)
geeignet,"suitable, suitably"
diplomatisch,diplomatic(ally)
"das Streitgespräch, -e","argument, debate"
undiplomatisch,undiplomatic(ally)
"die Aufforderung, -en","request, challenge"
"arm, ärmer, am ärmsten",poor(ly)
"das Atelier, -s",studio
beeinflussen,to influence
erkämpfen,"to win, secure"
finanziell,financial(ly)
die Gewalt (Singular),"force, violence"
"der Kampf, Kämpfe","battle, fight"
kommerziell,commercial(ly)
komponieren,to compose
"der Komponist, -en",composer (m.)
"der Kunsthistoriker, -",art historian (m.)
die Medienbranche (Singular),media industry
"die Pianistin, -nen",pianist (f.)
"die Schauspielkarriere, -n",acting career
unabhängig,independent(ly)
"der Verleger, -",publisher (m.)
voneinander,from one another
weiterhin (Ich möchte weiterhin arbeiten.),further (I want to carry on working.)
zunächst,for the time being
"zwingen (zu + Dat.) (zwingt, zwang, hat gezwungen)",to force
bzw. (beziehungsweise),"i.e. (or rather, that is)"
"da (Er ist sehr engagiert, da er dieses Thema wichtig findet.)","here: as (He is very engaged, as he finds this subject very important.)"
dokumentieren,to document
"die Ehe, -n",marriage
erhalten sein,to be preserved
"die Inspiration, -en",inspiration
"die Konzertreise, -n",concert tour
"die Sammlung, -en",collection
die Moral (Singular),"moral, lesson"
"abziehen (zieht ab, zog ab, ist abgezogen) (Lachend zog der Hirsch ab.)","to move away, pull off (The deer went off, laughing.)"
"beißen (beißt, biss, hat gebissen)",to bite
die Beute (Singular),"prey, quarry"
"die Fabel, -n",fable
"der Fuchs, Füchse",fox
"der Hirsch, -e","deer, stag"
"die Jagd, -en",hunt
"der/die Klügere, -n",smarter one
kraftlos,powerless(ly)
lachend,laughing(ly)
"die Lebensweisheit, -en",worldly wisdom
miteinander,with each other
verbissen,"dogged(ly), grim(ly)"
wehren (sich),to defend
zurückbrüllen,to yell back
"zusammenbrechen (bricht zusammen, brach zusammen, ist zusammengebrochen)",to collapse
aussagen,"to testify, state"
dorthin,there
eilig,"hasty, hastily"
"fressen (frisst, fraß, hat gefressen)","to feed, eat"
illustrieren,to illustrate
loben,to praise
"der Rabe, -n",crow
schmeicheln,to flatter
"der Schnabel, Schnäbel",beak
"stehlen (stiehlt, stahl, hat gestohlen)",to steal
vorsingen,to sing
"die Fliege, -n",fly
"die Giraffe, -n",giraffe
"das Krokodil, -e",crocodile
"die Mücke, -n",mosquito
"die Markierung, -en",marking
"die Rede, -n",speech
wörtlich,literal(ly)
beachten,"to note, observe"
anstrengen (sich),"to strain, exert"
ausreichend,sufficient(ly)
"die Biene, -n",bee
blutig,"bloody, bloodily"
eincremen,to apply cream
"der Knödel, -",German dumpling
die Pasta (Singular),pasta
"der Schweinebraten, -",roast pork
"der Eiswürfel, -",ice cube
"das Gehirn, -e",brain
die Gymnastik (Singular),gymnastics
"das Instrument, -e",instrument
"das Kreuzworträtsel, -",crossword puzzle
kühlen,to cool
lauwarm,lukewarm(ly)
lutschen,to suck on
"der Rettungsdienst, -e",ambulance service
roh,raw
schnarchen,to snore
stärken (das Herz stärken),"to strengthen, reinforce (to strengthen the heart)"
"das Steak, -s",steak
"stechen (sticht, stach, hat gestochen)",to sting
verjagen,to chase away
verschlucken,to swallow
"die Auswertung, -en",evaluation
einschätzen,to assess
"das Krankenzimmer, -",hospital room
nötig,"necessary, required"
notwendig,"necessary, required"
warnen (vor + Dat.),to warn
auflösen,"to dissolve, resolve"
"einnehmen (nimmt ein, nahm ein, hat eingenommen)",to take in
"der Facharzt, -ärzte",medical specialist
"die Flüssigkeit, -en",fluid
"der Hausarzt, -ärzte","general practitioner, family doctor"
"die Notaufnahme, -n",emergency room
"das Pflaster, -",bandage
"die Schachtel, -n","carton, case"
schaden,"to damage, harm"
"schlagen (schlägt, schlug, hat geschlagen)","to beat, hit"
die Schmerzen (Plural),pain
"das Schmerzmittel, -",pain reliever
senken,"to reduce, lower"
untersuchen,"to examine, investigate"
"verschreiben (verschreibt, verschrieb, hat verschrieben)",to prescribe
"die Versichertenkarte, -n",insurance card
"messen (misst, maß, hat gemessen)",to measure
"die Spritze, -n","injection, syringe"
glatt,smooth(ly)
"der Pfleger, -",nurse (m.)
"die Pflegerin, -nen",nurse (f.)
schwindlig,"dizzy, dizzily"
unbequem,uncomfortable
"das Haar, -e",hair
kämmen (sich),to comb
"das Partnerinterview, -s",partner interview
"die Besuchszeit, -en",visiting hours
die Wertsachen,valuables
"der Alarmknopf, Alarmknöpfe",alarm button
"der Apparat, -e","appratus, machine"
aufbewahren,"to store, keep"
aufteilen,"to divide, split up"
"der Bademantel, -mäntel",bathrobe
beschildert,marked with signs
"betragen (beträgt, betrug, hat betragen)",to come to
"die Chipkarte, -n","smart card, keycard"
"die Diät-Assistentin, -nen",dietary assistant
diätisch,dietary
ebenso,"as well, likewise"
eignen (sich) (für + Akk.),to be suitable for
"empfangen (empfängt, empfing, hat empfangen)",to receive
"die Entlassung, -en",discharge
"erhalten (erhält, erhielt, hat erhalten)","to get, obtain"
die Ernährung (Singular),nutrition
"die Fernbedienung, -en",remote control
das Festnetz (Singular),landline
"die Gebrauchsanweisung, -en",user‘s manual
"die Hauptmahlzeit, -en",main meal
"das Infoblatt, -blätter",fact sheet
inkl. (inklusive),incl. (inclusive)
"der Klinikaufenthalt, -e",hospital stay
"das Küchenteam, -s",kitchen staff
"das Mineralwasser, -",mineral water
"das Nachthemd, -en",nightgown
"der Notausgang, -ausgänge",emergency exit
"der Notfall, Notfälle",emergency
"die Nutzung, -en",use
prinzipiell,in principle
die Rücksicht (Singular),consideration
"die Rufnummer, -n",telephone number
sämtlich,all
"der Schlafanzug, -anzüge",pajamas
sichtbar,"visible, visibly"
"der Trainingsanzug, -anzüge",track suit
vegetarisch,vegetarian
die Verfügung (Singular) (zur Verfügung stehen),"available, disposal (to be at one‘s disposal)"
"der Zimmernachbar, -n",next-door neighbor
"die Zimmertür, -en",room door
zuständig,responsible
"die Zwischenmahlzeit, -en",snack
als auch (sowohl … als auch),here: and; as well as (both … and)
als ob,as if
der Alzheimer (Singular),Alzheimer‘s Disease
amerikanisch,American
andererseits,on the other hand
"der Anlass, Anlässe","reason, cause"
auslösen,"to trigger, release"
"die Beerdigung, -en",funeral
beobachten,to observe
beruhigend,"soothing(ly), reassuring(ly)"
daher,hence
"die Dur-Tonart, -en",major key
einerseits,on the one hand
entweder (entweder … oder),either (either … or)
feierlich,ceremonial(ly)
die Filmbranche (Singular),film industry
"die Filmmusik, -en","film score, film soundtrack"
"der Forscher, -",researcher (m.)
gelangen,"to reach, attain"
"Heavy Metal (Singular, ohne Artikel)",heavy metal
"der Käsekuchen, -",cheesecake
"leiden (an + Dat.) (leidet, litt, hat gelitten) (Meine Oma leidet an Alzheimer.)",to suffer (My grandmother suffers from Alzheimer‘s Disease.)
"die Liebesszene, -n",love scene
"Metal (Singular, ohne Artikel) (= Heavy Metal)",metal (= heavy metal)
"Moll (Singular, ohne Artikel)",minor key
der Musikgeschmack (Singular),music taste
"das Musikinstrument, -e",musical instrument
das Musikstudium (Singular),study of music
"der Puls, -e","beat, pulse"
"die Reklame, -n",advertisement
"die Rolle, -n (eine wichtige Rolle spielen)",role (to play an important role)
"Salsa (Singular, ohne Artikel)",salsa music
"sinken (sinkt, sank, ist gesunken)","to fall, sink"
sobald,as soon as
sowohl (sowohl … als auch),both
"der Staatsempfang, -empfänge",state reception
"Techno (Singular, ohne Artikel)",techno music
tragisch,tragic(ally)
verantwortlich,"responsible, responsibly"
verarbeiten,"to process, handle"
vermutlich,presumably
weder … noch,neither … nor
würzig,"aromatic, spicy"
"das Forschungsthema, -themen",research topic
die Heilung (Singular),"cure, healing"
"der Kopf, Köpfe (durch den Kopf gehen)",head (to go through the head)
"die Einschränkung, -en","restriction, limitation"
"die Flöte, -n",flute
"die Geige, -n",violin
"das Klavier, -e",piano
"die Violine, -n",violin
"der Ohrwurm, -würmer","earworm, catchy song"
abgeschlossen,"completed, self-contained"
"die Äußerung, -en",statement
gleichbleibend,"consistent, steady"
"die Nachfrage, -n",demand
steigend,"rising, increasing"
"das Knie, - (in die Knie gehen)",knee (to get on one‘s knees)
"anhaben (hat an, hatte an, hat angehabt)","to wear, have on"
"die Gedächtnisleistung, -en",memory skills
"die Kursstunde, -n",class hour
woran (Woran erinnerst du dich?),about what (What do you remember about it?)
involviert,involved
"der Lerncoach, -s",learning coach
motiviert,motivated
"die Programmankündigung, -en",program announcement
"die Radiodiskussion, -en",radio discussion
das Sprachenlernen (Singular),language acquisition
"der Studiogast, -gäste",studio guest
dauerhaft,permanent(ly)
"die Lernmenge, -n",amount to learn
"der Moderator, Moderatoren",moderator
der Stoff (Singular) (Ich muss noch so viel Stoff für die Prüfung lernen.),"material, stuff (I still need to learn so much material for the test.)"
"die Strategie, -n",strategy
"die Tageszeit, -en",time of day
"ausdenken (sich) (denkt sich aus, dachte sich aus, hat sich ausgedacht)","to devise, think up"
fantasievoll,imaginative(ly)
überprüfen,"to check, verify"
ungewöhnlich,unusual(ly)
"der Lerntipp, -s",learning tip
assoziieren,to associate
"der Lernweg, -e",learning track
ausgleichen,"to compensate, even out"
ausnahmslos,without exception
ausschließlich,exclusive(ly)
bemühen (sich) (um + Akk.),"to strive, trouble"
beteiligen (sich) (an + Dat.),to participate
"der Betreuer, -",supervisor
dennoch,nevertheless
der Druck (Singular),pressure
"einbringen (bringt ein, brachte ein, hat eingebracht)",to bring in
entdecken,to discover
"die Entwicklung, -en",development
erarbeiten,to work for
"das Feedback, -s (Feedback geben/erhalten/ bekommen)",feedback (to give/receive/get feedback)
"die Förderung, -en","encouragement, advancement"
"die Gesamtschule, -n",comprehensive school
"das Halbjahr, -e",half year
"der Hinweis, -e","clue, piece of advice"
"der Hirnforscher, -",brain researcher
"die Jahrgangsstufe, -n",grade
jedoch,however
"der Klassenlehrer, -",classroom teacher
laut (Laut aktuellen Forschungen sollten Schüler Freude am Entdecken haben.),"here: according to (According to recent research, students should find joy in discovery.)"
"die Leistung, -en","performance, achievement"
"der Lernbegleiter, -",learning companion
die Lernfreude (Singular),joy of learning
"der Lösungsweg, -e",solution
"der Matheprofi, -s",math pro
"die Nachmittagsstunde, -n",afternoon session
nebeneinander (Wir sitzen nebeneinander.),side by side (We’re sitting side by side.)
offenbar,"apparent(ly), obvious(ly)"
"der Schulpreis, -e",school award
"die Schwäche, -n",weakness
untereinander,among themselves
der Unterrichtsstoff (Singular),teaching material
unterstützen,to support
vertraut machen (sich) (mit + Dat.),to become familiar with
"die Wochenaufgabe, -n",weekly homework
"zugehen (geht zu, ging zu, ist zugegangen) (Hier geht es anders zu als an anderen Schulen.) zutrauen (Niemand hat ihnen das Abitur zugetraut.) das Kunststück, -e anschauen das Auge, -n (ins Auge fallen)","here: to deal with (Here, things are dealt with differently than in other schools.  to have confidence, to believe in something (No one believed that they could get their piece of art, stunt to look at eye (to catch someone‘s eye)"
"die Bahnhofshalle, -n",train station hall
Bosnien,Bosnia
"der Brunnen, -",fountain
"die Burg, -en",castle
"das Detail, -s",detail
ein wenig,a little
"das Exemplar, -e",copy
flüchten,to flee
"die Flüchtlingsfrau, -en",female refugee
"das Gemälde, -",painting
geometrisch,geometric(ally)
gewöhnlich,"usual(ly), ordinary, ordinarily"
"greifen (greift, griff, hat gegriffen)","to grasp, reach for"
das Handwerk (Singular),craft
"hierherkommen (kommt hierher, kam hierher, ist hierhergekommen)",to come here
"hinaufgehen (geht hinauf, ging hinauf, ist hinaufgegangen)",to go up
"die Kaiserin, -nen",empress
"die Kette, -n",necklace
"die Kraft, Kräfte","strength, power"
"der Krieg, -e (Krieg führen)",war (to wage war)
"die Kunsterzieherin, -nen",art teacher (f.)
"das Kunstwerk, -e",artwork
"die Kurve, -n",curve
nähen,"to sew, stitch"
"der Ohrring, -e",earring
"der Quilt, -s",quilt
schätzen (Ich schätze dieses Gemälde sehr.),"to value, estimate (I really value this painting.)"
"die Schmuckdesignerin, -nen",jewelry designer (f.)
schöpfen (Kraft schöpfen),"to draw, summon up (to draw power)"
schräg,"oblique(ly), diagonal(ly)"
senkrecht,"vertical, perpendicular"
"die Statue, -n",statue
"die Stiege, -n (Österreich)",stairs (Austria)
"das Unikat, -e",unique piece
waagerecht,horizontal
"die Brieftasche, -n","wallet, billfold"
"das Eck, -en (Österreich)",corner (Austria)
"der Erdapfel, Erdäpfel (Österreich)",potato (Austria)
"der Fleischer, -",butcher
"der Fleischhauer, - (Österreich)",butcher (Austria)
"das Gasthaus, -häuser",inn
"die Gaststätte, -n",restaurant
"das Kuvert, -s (Österreich)",envelope (Austria)
"der Metzger, -",butcher
